orderId,items,total,status,createdAt,approvedAt,approvedBy,poNumber
ORD-1770708768497,"[{""productId"":""BY119"",""name"":""สร้อยคอจี้สปริง เรียบหรู ประดับเพชร #สีดำ (ดีไซน์ bvlgari)"",""qty"":20,""price"":260},{""productId"":""BY118"",""name"":""สร้อยคอจี้แหวนคู่ #สีโรสโกลว์ (ดีไซน์ swarovski)"",""qty"":20,""price"":260},{""productId"":""BY117"",""name"":""สร้อยคอ 2 in 1 จี้โคลเวอร์ ใส่ได้ 2 ด้าน #สีขาว (ดีไซน์ Van Cleef)"",""qty"":17,""price"":280},{""productId"":""BY116"",""name"":""สร้อยคอ 2 in 1 จี้โคลเวอร์ ใส่ได้ 2 ด้าน #สีดำ (ดีไซน์ Van Cleef)"",""qty"":16,""price"":280},{""productId"":""BY115"",""name"":""หวี ReFa รุ่น Heart Comb Aira #สีแดง"",""qty"":7,""price"":400},{""productId"":""BY113"",""name"":""ถุงเท้า Marimekko Unikko ดำ-เทา (พื้นดำ)"",""qty"":19,""price"":100},{""productId"":""BY112"",""name"":""ถุงเท้า Marimekko Unikko ขาว-น้ำตาล (พื้นครีม)"",""qty"":20,""price"":100},{""productId"":""BY111"",""name"":""ถุงเท้า Marimekko Unikko ขาว-ดำ (พื้นขาว)"",""qty"":30,""price"":100},{""productId"":""BY110"",""name"":""ถุงเท้า Marimekko Unikko แบบ ลายเส้นดำ (พื้นครีม)"",""qty"":19,""price"":100},{""productId"":""BY109"",""name"":""ถุงเท้าข้อยาว Marimekko ลาย Logo ดำ-ขาว (พื้นขาว)"",""qty"":17,""price"":100},{""productId"":""BY108"",""name"":""ถุงเท้าข้อยาว Marimekko ลาย Logo ขาว-ดำ (พื้นดำ)"",""qty"":20,""price"":100},{""productId"":""BY107"",""name"":""ถุงเท้าข้อยาว Marimekko Unikko ดำ-ขาว (พื้นดำ)"",""qty"":20,""price"":100},{""productId"":""BY106"",""name"":""ถุงเท้าข้อยาว Marimekko Unikko ดำ-ครีม (พื้นดำ)"",""qty"":10,""price"":100},{""productId"":""BY105"",""name"":""ถุงเท้าข้อยาว Marimekko Unikko ขาว-ดำ (พื้นขาว)"",""qty"":10,""price"":100},{""productId"":""BY104"",""name"":""ถุงเท้าข้อยาว Marimekko Unikko ดำ-ขาว (พื้นดำ)"",""qty"":10,""price"":100},{""productId"":""BY102"",""name"":""นาฬิกาเข็มกลัด Vivienne Westwood รุ่น Safety Pin Enamel Heart Brooch Watch"",""qty"":7,""price"":1390},{""productId"":""BY101"",""name"":""ด้ายแดงเสริมดวง จี้ Sanrio ลิขสิทธิ์แท้"",""qty"":32,""price"":180},{""productId"":""BY103"",""name"":""กระเป๋า GENTLEWOMAN x Monchhichi"",""qty"":13,""price"":480}]",61670,APPROVED,"10/2/2026, 7:32:48",10/2/2026,bobo,
ORD-1770718475520,"[{""productId"":""BN001"",""name"":""นาฬิกา Vivienne Westwood รุ่น Exclusive Mini Wallace 32 mm."",""qty"":1,""price"":1950}]",1950,REJECTED,"10/2/2026, 10:14:36",10/2/2026,sunilthorn,
ORD-1770834114260,"[{""productId"":""BY126"",""name"":""กระเป๋า Vivienne Westwood รุ่น Hazel Medium Handbag #สีดำ"",""qty"":20,""price"":950},{""productId"":""BY125"",""name"":""กระเป๋า Vivienne Westwood รุ่น Orb Plaque Checked Shoulder Bag"",""qty"":10,""price"":680},{""productId"":""BY124"",""name"":""นาฬิกา Vivienne Westwood รุ่น Belvoir Ladies Watch 25mm #สีชมพู"",""qty"":12,""price"":2090},{""productId"":""BY123"",""name"":""นาฬิกา Vivienne Westwood รุ่น Belvoir Ladies Watch 25mm #สีดำ"",""qty"":12,""price"":2090},{""productId"":""BY122"",""name"":""กระเป๋าสตางค์ Vivienne Westwood รุ่น Crocodile Embossed Leather Wallet #สีฟ้า"",""qty"":10,""price"":650},{""productId"":""BY121"",""name"":""กระเป๋าสตางค์ Vivienne Westwood รุ่น ENVELOPE BILLFOLD #สีดำ"",""qty"":20,""price"":650},{""productId"":""BY120"",""name"":""ผ้าพันคอ Vivienne Westwood Embroidered Scarf #สีขาว"",""qty"":9,""price"":580}]",100680,APPROVED,"11/2/2026, 18:21:54",11/2/2026,sunilthorn,
ORD-1770876951220,"[{""productId"":""BY115"",""name"":""หวี ReFa รุ่น Heart Comb Aira #สีแดง"",""qty"":1,""price"":400}]",400,APPROVED,"12/2/2026, 6:15:51",12/2/2026,bobo,
ORD-1770929661517,"[{""productId"":""BN008"",""name"":""ผ้าพันคอ Vivienne Westwood Embroidered Scarf #สีดำ"",""qty"":1,""price"":580},{""productId"":""BN007"",""name"":""สร้อยข้อมือ (คละลาย)"",""qty"":1,""price"":90},{""productId"":""BY102"",""name"":""นาฬิกาเข็มกลัด Vivienne Westwood รุ่น Safety Pin Enamel Heart Brooch Watch"",""qty"":1,""price"":1390},{""productId"":""BY103"",""name"":""กระเป๋า GENTLEWOMAN x Monchhichi"",""qty"":1,""price"":480}]",2540,REJECTED,"12/2/2026, 20:54:22",12/2/2026,sunilthorn,
ORD-1770929707612,"[{""productId"":""BN007"",""name"":""สร้อยข้อมือ (คละลาย)"",""qty"":1,""price"":90}]",90,REJECTED,"12/2/2026, 20:55:08",12/2/2026,sunilthorn,
ORD-1770937387675,"[{""productId"":""BN005"",""name"":""Miniso ขาตั้งโทรศัพท์ ลายคุโรมิ"",""qty"":1,""price"":0}]",0,REJECTED,"12/2/2026, 23:03:08",23/2/2026,bobo,
ORD-1771033657317,"[{""productId"":""BY115"",""name"":""หวี ReFa รุ่น Heart Comb Aira #สีแดง"",""qty"":1,""price"":400}]",400,REJECTED,"14/2/2026, 1:47:37",23/2/2026,bobo,
ORD-1771052572366,"[{""productId"":""BN005"",""name"":""Miniso ขาตั้งโทรศัพท์ ลายคุโรมิ"",""qty"":1,""price"":0}]",0,REJECTED,"14/2/2026, 7:02:52",23/2/2026,bobo,
ORD-1771130761231,"[{""productId"":""BY145"",""name"":""กระเป๋า Vivienne Westwood รุ่น Granny Frame Purse #สีเงิน"",""qty"":4,""price"":780},{""productId"":""BY144"",""name"":""กระเป๋า Vivienne Westwood รุ่น Granny Frame Purse #สีดำ"",""qty"":1,""price"":780},{""productId"":""BY136"",""name"":""Sweetrip แปรงสีฟันไวท์เทนนิ่ง ดูอัลบรัช แพค 2 ชิ้น"",""qty"":48,""price"":150}]",11100,APPROVED,"15/2/2026, 4:46:01",15/2/2026,bobo,
