logId,productId,type,qty,before,after,by,orderId,reason,timestamp
LOG-1769078168983,BN001,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"22/1/2026, 10:36:09"
LOG-1769078388540,BN002,CREATE,15,0,15,bobo,CREATE_PRODUCT,,"22/1/2026, 10:39:49"
LOG-1769078517221,BN003,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"22/1/2026, 10:41:57"
LOG-1769693138318,BN004,CREATE,30,0,30,bobo,CREATE_PRODUCT,,"29/1/2026, 13:25:38"
LOG-1769783198563,YI001,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"30/1/2026, 14:26:39"
LOG-1769784309104,YI002,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 14:45:09"
LOG-1769784400710,YI003,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"30/1/2026, 14:46:41"
LOG-1769784646622,YI004,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"30/1/2026, 14:50:47"
LOG-1769784743262,YI005,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 14:52:23"
LOG-1769784846902,YI006,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 14:54:07"
LOG-1769785104742,YI007,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 14:58:25"
LOG-1769785218435,YI008,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 15:00:18"
LOG-1769785264934,YI009,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"30/1/2026, 15:01:05"
LOG-1769785325440,YI010,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"30/1/2026, 15:02:05"
LOG-1769785804838,YI011,CREATE,50,0,50,bobo,CREATE_PRODUCT,,"30/1/2026, 15:10:05"
LOG-1769865906709,BN005,CREATE,50,0,50,bobo,CREATE_PRODUCT,,"31/1/2026, 13:25:07"
LOG-1769866992522,BN006,CREATE,120,0,120,bobo,CREATE_PRODUCT,,"31/1/2026, 13:43:13"
LOG-1769867257453,BN007,CREATE,35,0,35,bobo,CREATE_PRODUCT,,"31/1/2026, 13:47:37"
LOG-1769868672919,BN008,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"31/1/2026, 14:11:13"
LOG-1769868744845,BN009,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"31/1/2026, 14:12:25"
LOG-1769874718024,BN010,CREATE,40,0,40,bobo,CREATE_PRODUCT,,"31/1/2026, 15:51:58"
LOG-1769874752445,BN011,CREATE,20,0,20,bobo,CREATE_PRODUCT,,"31/1/2026, 15:52:32"
LOG-1769874788777,BN012,CREATE,10,0,10,bobo,CREATE_PRODUCT,,"31/1/2026, 15:53:09"
